date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:09:03	130366/130366	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2001%20May%202022%2022:09:02%20GMT	https://nextformation.com/fiches-metiers/https:/nextformation.com/app/uploads/2021/05/nf-fp-info-ais-bandeau-qnpiau-1600x365.png	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/fiches-metiers/https_/nextformation.com/app/uploads/2021/05/nf-fp-info-ais-bandeau-qnpiau-1600x365.png	(from https://nextformation.com/fiches-metiers/fiche-metier-developpeur-web)
00:09:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20May%202022%2022:09:03%20GMT	https://nextformation.com/fiches-metiers/'https://nextformation.com/app/uploads/2021/05/nf-fp-rrhp-bandeau-jb2qln-1600x382.png'	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/fiches-metiers/'https_/nextformation.com/app/uploads/2021/05/nf-fp-rrhp-bandeau-jb2qln-1600x382.png'	(from https://nextformation.com/fiches-metiers/technicien-assistant-informatique)
00:09:04	130358/130358	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2001%20May%202022%2022:09:04%20GMT	https://nextformation.com/fiches-metiers/https:/nextformation.com/app/uploads/2021/05/nf-fp-rrhp-bandeau-jb2qln-1600x382.png	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/fiches-metiers/https_/nextformation.com/app/uploads/2021/05/nf-fp-rrhp-bandeau-jb2qln-1600x382.png	(from https://nextformation.com/fiches-metiers/technicien-assistant-informatique)
00:09:05	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20May%202022%2022:09:05%20GMT	https://nextformation.com/?p=4600	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/index9e27.html	(from https://nextformation.com/fiches-metiers/technicien-assistant-informatique)
00:09:05	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20May%202022%2022:09:05%20GMT	https://nextformation.com/fiches-metiers/'https://nextformation.com/app/uploads/2021/05/nf-fp-info-ais-bandeau-luintz-1600x365.png'	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/fiches-metiers/'https_/nextformation.com/app/uploads/2021/05/nf-fp-info-ais-bandeau-luintz-1600x365.png'	(from https://nextformation.com/fiches-metiers/technicien-systemes-reseaux)
00:09:06	130366/130366	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2001%20May%202022%2022:09:06%20GMT	https://nextformation.com/fiches-metiers/https:/nextformation.com/app/uploads/2021/05/nf-fp-info-ais-bandeau-luintz-1600x365.png	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/fiches-metiers/https_/nextformation.com/app/uploads/2021/05/nf-fp-info-ais-bandeau-luintz-1600x365.png	(from https://nextformation.com/fiches-metiers/technicien-systemes-reseaux)
00:09:08	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20May%202022%2022:09:07%20GMT	https://nextformation.com/?p=4582	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/index47fc.html	(from https://nextformation.com/fiches-metiers/technicien-systemes-reseaux)
00:09:09	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2001%20May%202022%2022:09:08%20GMT	https://nextformation.com/app/uploads/2021/03/favicon.png	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/app/uploads/2021/03/favicon.png	(from https://nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux)
00:09:09	268907/268907	UR-MCZ	200	added ('OK')	application/javascript	date:Thu,%2014%20Apr%202022%2011:37:59%20GMT	https://nextformation.com/app/themes/nextformation/dist/scripts/main_f7423051.js	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/app/themes/nextformation/dist/scripts/main_f7423051.js	(from https://nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux)
00:09:12	34749/34749	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Apr%202021%2018:18:53%20GMT	https://nextformation.com/app/themes/nextformation/resources/assets/images/common/quiz/quiz_bckgd.png	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/app/themes/nextformation/resources/assets/images/common/quiz/quiz_bckgd.png	(from https://nextformation.com/app/cache/min/1/app/themes/nextformation/dist/styles/main_f7423051.css?ver=1649936313)
00:09:15	901/901	UR-MCZ	200	added ('OK')	text/javascript	date:Sun,%2001%20May%202022%2022:09:15%20GMT	https://www.google.com/recaptcha/api.js?render=explicit	/home/zorome/My%20Web%20Sites/MON%20CV/www.google.com/recaptcha/apib091.js	(from https://nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux)
00:09:16	130204/130204	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2001%20May%202022%2022:09:15%20GMT	https://nextformation.com/fiches-metiers/xhr.js	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/fiches-metiers/xhr.js	(from https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js)
00:09:17	130198/130198	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2001%20May%202022%2022:09:16%20GMT	https://nextformation.com/fiches-metiers/GET	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/fiches-metiers/GET	(from https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js)
00:09:17	130240/130240	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2001%20May%202022%2022:09:17%20GMT	https://nextformation.com/fiches-metiers/lib/widget-management.js	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/fiches-metiers/lib/widget-management.js	(from https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js)
00:09:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20May%202022%2022:09:18%20GMT	https://nextformation.com/?p=4750	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/indexf07a.html	(from https://nextformation.com/fiches-metiers/fiche-metier-developpeur-web)
00:09:20	20665/20665	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Apr%202021%2018:18:53%20GMT	https://nextformation.com/app/themes/nextformation/resources/assets/images/common/quiz/quiz_bckgd_first.png	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/app/themes/nextformation/resources/assets/images/common/quiz/quiz_bckgd_first.png	(from https://nextformation.com/app/cache/min/1/app/themes/nextformation/dist/styles/main_f7423051.css?ver=1649936313)
